問題,答え,読み,最終確認日
「アンゴラウサギ」や「アンゴラヤギ」の「アンゴラ」とは、現在の何という都市のことを指すでしょう？,アンカラ,アンカラ,2020/05/24
「夏が過ぎ 風あざみ」という歌い出しで始まる、1990年に藤子不二雄A原作の同名映画の主題歌としてリリースされミリオンヒットを記録した、井上陽水の曲は何でしょう？,『少年時代』,しょうねんじだい,2020/05/24
「国破れて山河あり」という句から始まる、中国・唐代の詩人である杜甫が詠んだ漢詩は何でしょう？,『春望』,しゅんぼう,2020/05/24
「足白癬」と呼ばれることもある、白癬菌というカビの一種が足の皮膚に寄生することでかゆみやあかぎれなどを引き起こす症状を俗に何というでしょう？,水虫,みずむし,2020/05/24
「輪帯」とも呼ばれる、ドラム缶の円筒部にある出っ張りのことを英語で何というでしょう？,ビード,ビード,2020/05/24
1095年に教皇ウルバヌス2世が招集し、第1回十宇軍の遠征などが宣言された会議を、それが開かれたフランス中部の地名から何公会議というでしょう？,クレルモン公会議,クレルモン,2020/05/24
1808年にナポレオンが導入した、フランスで大学入学に必要とされる中等教育の修了資格を何というでしょう？,バカロレア,バカロレア,2020/05/24
1951年12月16日から毎日小学生新聞・大阪版で数ヶ月間だけ連載された、のちに「藤子不二雄」の合同ペンネームで活動することになる「あびこもとお・ふじもとひろし」のプロデビュー作のタイトルは何でしょう？,『天使の玉ちゃん』,てんしのたまちゃん,2020/05/24
1971年にアメリカで理髪店を営むマール・ロビンスによって考案された、スペイン語やイタリア語で数字の「1」を表す名前のカードゲームは何でしょう？,UNO,ウノ,2020/05/24
2001年11月18日に首都圏エリアの424駅で利用が開始された、JR東日本が発行する電子マネー機能付きICカード乗車券の愛称は何でしょう？,Suica,スイカ,2020/05/24
2003年『view』でメジャーデビューし、『ボクノート』『全力少年』『奏』などの曲で知られる、大橋卓弥と常田真太郎からなる音楽ユニットは何でしょう？,スキマスイッチ,スキマスイッチ,2020/05/24
2011年まで全日本吹奏楽コンクールの全国大会が30年以上開催されたことから「吹奏楽の甲子園」として知られたものの、耐震強度不足のため2018年より解体工事が行われている、東京都杉並区のホールはどこでしょう？,普門館,ふもんかん,2020/05/24
2019年4月から福尾まことが12代目を務めている、かつて砂川啓介や佐藤弘道、小林よしひさなどが担当していた、NHKの教育番組『おかあさんといっしょ』における役名は「何のおにいさん」でしょう？,たいそうのおにいさん,たいそう,2020/05/24
2020年にシングル『PROTOSTAR』でデビューした、オーディション番組『PRODUCE 101 JAPAN』で合格したメンバー11名からなる男性アイドルグループは何でしょう？,JO1,JO1,2020/05/24
JR山手線が乗り入れる駅のうち、「東西南北」いずれかの漢字が含まれている2つの駅とは、西日暮里駅と何駅でしょう？,東京駅,とうきょう,2020/05/24
JR西日本が2003年に導入し、2008年にはSuicaなどとの相互利用が始まった、「カモノハシのイコちゃん」をイメージキャラクターとするICカード乗車券は何でしょう？,ICOCA,イコカ,2020/05/24
アイドルグループ「欅坂46」のデビューシングルの曲名にもなっている、アメリカのニクソン大統領がスピーチで用いて広まった「声なき多数派」を意味する英語は何でしょう？,サイレントマジョリティー,サイレントマジョリティー,2020/05/24
アズマモグラの学名にその名を残す、「イリオモテヤマネコ」を命名した日本の動物学者は誰でしょう？,今泉吉典,いまいずみよしのり,2020/05/24
アタッカーの動きに合わせて跳ぶ「コミット」や、セッターのトスを見てから跳ぶ「リード」などの種類がある、バレーボールで前衛の選手が跳びながら手を出して相手チームのスパイクを防ぐプレーのことを何というでしょう？,ブロック,ブロック,2020/05/24
アニメ『美少女戦士セーラームーン』で、セーラー戦士たちを助け陰で見守る、地場衛が変身するヒーローは何でしょう？,タキシード仮面,タキシードかめん,2020/05/24
アメリカ・NASAのアポロ計画で、初めて月面着陸に成功した宇宙船は「アポロ何号」でしょう？,アポロ11号,11,2020/05/24
アメリカでは青色、中国では緑色、日本では赤色が一般的である、街なかなどにあり正式名称を「郵便差出箱」という箱を俗に何というでしょう？,ポスト,ポスト,2020/05/24
アメリカのヒーロー・スーパーマンの故郷である架空の惑星と、原子番号36の元素に共通する名前は何でしょう？,クリプトン,クリプトン,2020/05/24
アメリカの自動車業界で「ビッグスリー」と呼ばれる3つのメーカーブランドとは、クライスラー、ゼネラルモーターズと何でしょう？,フォード,フォード,2020/05/24
いきなり団子、ばんぺいゆ、一文字ぐるぐる、辛子蓮根といった郷土料理や特産物があり、天草五橋や阿蘇山などの観光名所で知られる都道府県はどこでしょう？,熊本県,くまもと,2020/05/24
イタリア語で「額縁」という意味がある、ナポリピッツァの大きく膨らんだふちの部分を何というでしょう？,コルニチョーネ,コルニチョーネ,2020/05/24
イタリア語の「大ラッパ」を語源とする、スライドと呼ばれる管を動かすことにより音の高低を操作する金管楽器は何でしょう？,トロンボーン,トロンボーン,2020/05/24
いわゆる「虹の七色」のうち、最も光の波長が長い色は何でしょう？,赤,あか,2020/05/24
うがい薬や入浴剤、殺虫剤、薬用化粧品などが該当する、薬効成分を持ち製造・販売に医薬品同様の承認や許可が必要になるものの、小売は自由に出来る商品のことを、日本の法律で何と総称しているでしょう？,医薬部外品,いやくぶがいひん,2020/05/24
ことわざで、ある物事が関係のないところで他の物事に影響を与えることを「風が吹けば何が儲かる」というでしょう？,風が吹けば桶屋が儲かる,おけや,2020/05/24
ことわざで「虎の威を借る」といわれる動物は何でしょう？,狐,きつね,2020/05/24
シュメール時代には「ブラヌン」と呼ばれていた、チグリス川とともに古代メソポタミア文明の繁栄を支えた、中東を流れる川は何でしょう？,ユーフラテス川,ユーフラテス,2020/05/24
その名はイタリア語で「土鍋」を意味する言葉が由来とされる、中に菓子やおもちゃを詰めて誕生日などに渡す、メキシコのくす玉人形のことを何というでしょう？,ピニャータ,ピニャータ,2020/05/24
その名はスペイン語で「栗の実」を意味する言葉に由来する、フラメンコなどのスペイン音楽や、日本の幼児教育などでよく用いられる木製の打楽器は何でしょう？,カスタネット,カスタネット,2020/05/24
その名は英語で「鶴」を意味する、コンテナなどの重い物体を吊り上げて移動させる、長い首を持つ重機といえば何でしょう？,クレーン,クレーン,2020/05/24
テニスで、デュースになったあと、どちらかが1ポイントを先取することを英語で何というでしょう？,アドバンテージ,アドバンテージ,2020/05/24
フィレンツェにあるスピーニ・フェローニ宮殿に本店を置いている、「ガンチーニ」や「ヴァラ」などのモチーフを使った靴などの商品で知られるイタリアのファッションブランドは何でしょう？,サルバトーレ・フェラガモ,フェラガモ,2020/05/24
モンゴル語で「砂漠」という意味の名前である、中国とモンゴルに跨る砂漠は何砂漠でしょう？,ゴビ砂漠,ゴビ,2020/05/24
ラグビーの反則行為の1つで、タックルで倒された選手がボールを速やかに離さないことを何というでしょう？,ノット・リリース・ザ・ボール,ノットリリースザボール,2020/05/24
ローマ神話の商業の神、元素の水銀、惑星の水星に共通する英語名は何でしょう？,マーキュリー,マーキュリー,2020/05/24
ワゴンR、ハスラー、スイフトなどの車種を販売している、日本の自動車メーカーはどこでしょう？,スズキ,スズキ,2020/05/24
一般的に、ポケットビリヤードの台にあるポケットの数はいくつでしょう？,6つ,6,2020/05/24
英語で、少数派を「マイノリティ」というのに対し、多数派のことを何というでしょう？,マジョリティ,マジョリティ,2020/05/24
英語では「Japanese amberjack」と呼ばれ、照り焼きや大根の煮付けなどで食べられる、アジ科の出世魚は何でしょう？,ブリ,ブリ,2020/05/24
英語では「platelet」と呼ばれる、血液に含まれる止血作用を持つ成分の名前は何でしょう？,血小板,けっしょうばん,2020/05/24
英語では「モーニング・シックネス」と呼ばれ、漢字の音読みから「おそ」とも呼ばれる、特に妊娠初期の女性に見られる吐き気などの消化器官の障害を一般に何というでしょう？,つわり,つわり,2020/05/24
音を半音下げることを表す、楽譜上で「♭」と表記される変化記号を一般にその英語読みで何と呼ぶでしょう？,フラット,フラット,2020/05/24
外国企業が中国で人民元建てで発行する債券のことを、ある動物の名前を使って何債というでしょう？,パンダ債,パンダ,2020/05/24
学術的には「足底弓蓋」などと呼ばれ、これがない足は「扁平足」といわれる人間の足の部位を、立っても地面に触れないというところから一般に何というでしょう？,土踏まず,つちふまず,2020/05/24
鎌倉幕府や室町幕府における「将軍」の正式名称は何でしょう？,征夷大将軍,せいいたいしょうぐん,2020/05/24
慣用句で、頭を強くぶつけた時は目から、恥ずかしい時は顔から出るものといえば何でしょう？,火,ひ,2020/05/24
漢字では「孑孑」などと書く、蚊の幼虫のことを何というでしょう？,ボウフラ,ボウフラ,2020/05/24
漢字の「虫」とは元々どんな生き物の形からできた象形文字だったでしょう？,ヘビ,ヘビ,2020/05/24
韓国料理のキムチの中でも「キムチの王様」と形容される、イカやエビなどの魚介類を白菜で包んで漬けたものを、「包む」という意味の韓国語を使って何キムチというでしょう？,ポッサムキムチ,ポッサム,2020/05/24
旧社名を「立石電機」といった、電子体温計「けんおんくん」や各種センサーなどの製品がある大手電気機器メーカーで、かつてその本社があった京都市右京区の「御室」が現在の社名の由来となったのは何でしょう？,オムロン,オムロン,2020/05/24
兄のベンと弟のマイクからなる、1954年に行われた日本初の本格的なプロレスの国際試合において力道山・木村政彦組とタッグマッチで対戦したカナダのプロレスラーは「何兄弟」でしょう？,シャープ兄弟,シャープ,2020/05/24
元々は「オスの蜂」という意味がある、遠隔操作できる無人航空機を英語で何というでしょう？,ドローン,ドローン,2020/05/24
元々は「意味のわからない言葉を話す人」という意味である、古代ギリシャ人が他民族のことを指した呼称は何でしょう？,バルバロイ,バルバロイ,2020/05/24
元々は菱形で伸縮する構造物を指す言葉で、現在は電車の屋根に設置し、架線と接触させる集電装置全般を指していわれることが多い言葉は何でしょう？,パンタグラフ,パンタグラフ,2020/05/24
元素周期表で、横の並びのことを周期といいますが、縦の並びのことを何というでしょう？,族,ぞく,2020/05/24
妻に元おニャン子クラブの渡辺満里奈を持つ、お笑いトリオ「ネプチューン」のリーダーは誰でしょう？,名倉潤,なぐらじゅん,2020/05/24
作曲家のヴェルディ、プッチーニ、ヴィヴァルディに共通する出身国はどこでしょう？,イタリア,イタリア,2020/05/24
三種の神器の1つである八咫鏡を祀る「内宮」や、豊受大御神を主祭神とする「外宮」などからなり、正式名称を「神宮」という、三重県にある神社を一般的に何神宮と呼ぶでしょう？,伊勢神宮,いせ,2020/05/24
三重県津市発祥で名古屋の名物料理として知られる、海老の天ぷらを具材としたおにぎりを何と呼ぶでしょう？,天むす,てんむす,2020/05/24
子供の名前に縁起がいいとされる候補を全部付けてしまい、非常に長い名前となるという内容の古典落語の演目は何でしょう？,『寿限無』,じゅげむ,2020/05/24
自身の代表曲に『高気圧ガール』『RIDE ON TIME』『クリスマス・イブ』などがあり、妻の竹内まりやなど多くのアーティストに楽曲提供をしていることでも知られるミュージシャンは誰でしょう？,山下達郎,やましたたつろう,2020/05/24
七福神の中で、唯一日本生まれの神は誰でしょう？,恵比寿,えびす,2020/05/24
借金や費用などが膨らんでいくことを、雪の積もった場所で雪玉を転がすとどんどん大きくなることにちなんで「何式」と形容するでしょう？,雪だるま式,ゆきだるま,2020/05/24
若いカップルには2人で1つのものを仲良く食べて欲しいという願いから「ペア」と「ヤング」を合成してその名が付いた、まるか食品から販売されているカップ焼きそばのブランドは何でしょう？,ペヤング,ペヤング,2020/05/24
首都をアーモロートに置く、イギリスの思想家トマス・モアの著書に登場する架空の理想郷は何でしょう？,ユートピア,ユートピア,2020/05/24
初夢に見ると良いとされるもので、「一富士二鷹」に次いで3番目とされるものは何でしょう？,茄子,なすび,2020/05/24
女子フィギュアスケートの公式競技会で初めて4回転ジャンプに成功した元選手で、2010年のバンクーバーオリンピックで5位に入賞し、2007年と2011年には世界選手権で優勝を果たしたのは誰でしょう？,安藤美姫,あんどうみき,2020/05/24
小倉百人一首に収められた和歌「夜をこめて鳥のそら音ははかるとも よに逢坂の関はゆるさじ」を詠んだ、随筆『杭草子』を執筆したことで知られる平安時代の女性作家は誰でしょう？,清少納言,せいしょうなごん,2020/05/24
松島聡、佐藤勝利、菊池風磨、中島健人、マリウス葉の5人からなる、2011年にデビューしたジャニーズ事務所所属のアイドルユニットは何でしょう？,Sexy Zone,セクシーゾーン,2020/05/24
新潟県に本社を置く、煎餅や切り餅、鏡餅などを主力商品とし、俳優の高橋英樹を起用したCMで知られる米の加工食品の製造会社は何でしょう？,越後製菓,えちごせいか,2020/05/24
人間の体の「向こう脛」のことを、ある人物の名前を使って「何の泣き所」というでしょう？,弁慶の泣き所,べんけい,2020/05/24
世界貿易機関、国際労働機関、世界保健機関、赤十字国際委員会がそれぞれ事務局や本部を置くスイスの都市はどこでしょう？,ジュネーヴ,ジュネーヴ,2020/05/24
政府や私企業とは独立して社会貢献活動を行う「特定非営利活動法人」を、アルファベット3文字の略称で何というでしょう？,NPO,NPO,2020/05/24
正式には「盲人安全つえ」という、視覚障害などで道路の通行に支障のある人が、安全の確保や周囲への注意喚起のために持つ杖のことを、その色から一般に何というでしょう？,白杖,はくじょう,2020/05/24
正式名称を「日本美術展覧会」という、日本画、西洋画、彫刻、工芸美術、書の5部門からなる日本最大級の美術展覧会を、漢字2文字の略称で一般に何と呼ぶでしょう？,日展,にってん,2020/05/24
卒業ソングとして人気の『手紙 ～拝啓 十五の君へ～』が代表作である、日本の女性シンガーソングライターといえば誰でしょう？,アンジェラ・アキ,アンジェラアキ,2020/05/24
代表作に『秘密の花園』『小公子』『小公女』などの児童文学作品がある、アメリカの女性作家は誰でしょう？,フランシス・ホジソン・バーネット,バーネット,2020/05/24
男性ばかりの集団の中に女性が1人だけいることを、緑の草むらの中にザクロの赤い花が一輪咲いていることにたとえた漢字3文字の熟語で何というでしょう？,紅一点,こういってん,2020/05/24
地球からは14万8000光年離れているという設定である、アニメ『宇宙戦艦ヤマト』で戦艦ヤマトが目指す、スターシャ女王が治める惑星の名前は何でしょう？,イスカンダル星,イスカンダル,2020/05/24
中国・唐の玄宗皇帝による治世のうち、713年から741年までの政治的に安定していた時期を、当時の年号から「何の治」というでしょう？,開元の治,かいげん,2020/05/24
著書に『交隣提醒』がある、木下順庵に学んだのち対馬藩に仕え、朝鮮との外交実務に携わったことで知られる江戸時代中期の儒学者は誰でしょう？,雨森芳洲,あめのもりほうしゅう,2020/05/24
長崎県の風頭公演、丸山公園、京都府の円山公園、高知県の桂浜に銅像が立っている、幕末に活躍した武士は誰でしょう？,坂本龍馬,さかもとりょうま,2020/05/24
童謡『おべんとうばこのうた』で最後にお弁当箱に入れられる、「すじのとおった」と歌われる食材は何でしょう？,ふき,ふき,2020/05/24
童謡『どんぐりころころ』の歌詞で、お池にはまったどんぐりに「一緒に遊びましょう」と声をかけた生物は何でしょう？,どじょう,どじょう,2020/05/24
童話『7匹の子ヤギ』ではお母さんヤギ、『赤ずきん』ではおばあさんに化けた動物は何でしょう？,狼,オオカミ,2020/05/24
特にバドミントン用品で世界的シェアを持つことで知られ、テニス用品やゴルフ用品も手掛けている、1946年に「米山木工所」の名で創業されたスポーツ用品メーカーは何でしょう？,ヨネックス,ヨネックス,2020/05/24
独立国家としては世界で最も面積の小さい国である、イタリアの首都・ローマの中にある国はどこでしょう？,バチカン,バチカン,2020/05/24
縄文時代の集落跡である三内丸山遺跡はどこの都道府県にあるでしょう？,青森県,あおもり,2020/05/24
南アメリカの国の中で、唯一ポルトガル語を公用語にしている国はどこでしょう？,ブラジル,ブラジル,2020/05/24
日本コカ・コーラが京都府の茶問屋・上林春松本店との協力で販売している、「急須でいれたような、にごりの旨み」をキャッチコピーとする緑茶飲料のブランドは何でしょう？,綾鷹,あやたか,2020/05/24
日本では「ロト6」で初めて採用された、宝くじにおいて当選者がいなかった場合に、配当金を次回に繰り越す制度のことを英語で何というでしょう？,キャリーオーバー,キャリーオーバー,2020/05/24
日本では中国名から「南沙諸島」とも呼ばれる、中国・台湾・ベトナム・フィリピン・マレーシア・ブルネイの6地域が領有権を主張している海洋資源が豊富な南シナ海南部に位置する諸島を、第三国にあたる英語名で「何諸島」というでしょう？,スプラトリー諸島,スプラトリー,2020/05/24
日本でも1993年からNHK教育で吹き替え版が放送されていた、妻を亡くしたダニーが義弟のジェシー、友人のジョーイと助け合いながらDJ、ステファニー、ミシェルの三姉妹を育てる様子を描いた、アメリカのコメディドラマは何でしょう？,『フルハウス』,フルハウス,2020/05/24
日本の宅配会社のうち、「宅急便」の名称でサービスを展開しているのはどこでしょう？,ヤマト運輸,ヤマト,2020/05/24
日本の道の駅の中でも最も高い地点に位置する、長野県上田市にある施設を「道の駅 何」というでしょう？,道の駅美ヶ原高原,うつくしがはらこうげん,2020/05/24
日本国憲法に定められている「国民の三大義務」とは、教育の義務、勤労の義務と、何の義務でしょう？,納税の義務,のうぜい,2020/05/24
日本初の女性閣僚・中山マサが大臣を務めた省庁は何省でしょう？,厚生省,こうせい,2020/05/24
日本人では木村資生が唯一受賞している、優れた業績を挙げた生物学者に贈られる賞を、進化論を確立したあるイギリスの生物学者の名にちなんで「何・メダル」と呼ぶでしょう？,ダーウィン・メダル,ダーウィン,2020/05/24
馬の習性に由来する言葉で、目的から外れて無駄な時間を費やすことを「何を食う」というでしょう？,道草を食う,みちくさ,2020/05/24
舞台稽古の際に役名の無いキャストたちが、そこより前に出ないようにと引かれる線のことを、ブロードウェイを題材にした1975年初演のミュージカルのタイトルにもなっている言葉で何というでしょう？,コーラスライン,コーラスライン,2020/05/24
仏教ではその花に如来が座るとされ、地下茎は食材のレンコンとしておなじみである植物は何でしょう？,ハス,ハス,2020/05/24
文字遊びの「へのへのもへじ」で、鼻の部分にあたるひらがな1文字は何でしょう？,も,も,2020/05/24
別名を「四角数」という、1、4、9など自然数を二乗して得られる整数のことを何というでしょう？,平方数,へいほうすう,2020/05/24
漫画『ONE PIECE』で、麦わらの一味の中で最初にルフィの仲間になった、隻眼や三刀流の剣術を特徴とするキャラクターは誰でしょう？,ロロノア・ゾロ,ゾロ,2020/05/24
漫画『金田一少年の事件簿』の主人公である少年の名前は金田一何でしょう？,一,はじめ,2020/05/24
面積の約3分の1が県営名古屋飛行場の敷地であり、元野球選手のイチローの出身地としても知られる、愛知県西春日井郡の町は何町でしょう？,豊山町,とよやま,2020/05/24
野球で、守備番号「4番」で表されるのはどこのポジションでしょう？,セカンド,セカンド,2020/05/24
洋画団体「白馬会」の中心人物であった、代表作に『読書』『朝妝』『湖畔』などがある明治～大正期の画家は誰でしょう？,黒田清輝,くろだせいき,2020/05/24
略称で「MSF」とも呼ばれる、1971年にフランスの医師ベルナール・クシュネルらを中心として設立された、紛争地や被災地などで医療活動を行う世界最大の医療援助団体を日本語で何というでしょう？,国境なき医師団,こっきょうなきいしだん,2020/05/24
和名を「セイヨウショウロ」という、犬や豚を使って探すことで知られる世界三大珍味の1つは何でしょう？,トリュフ,トリュフ,2020/05/24
「交差した2本の青い剣」をシンボルマークとしている、「アラビアンナイト」「波の戯れ」「ブルーオニオン」などのシリーズが人気の、ドイツの磁器ブランドは何でしょう？,マイセン,マイセン,2020/05/23
「超音波」「電子」「光学」などの種類がある、微小な物体を視覚的に拡大して肉眼で見えるようにする装置を日本語で何というでしょう？,顕微鏡,けんびきょう,2020/05/23
『枯木鳴鵙図』『鵜図』などの作品を残した水墨画家としても活動し、兵法家としては『五輪書』を著したことで知られる、江戸時代初期に二天一流を開いた剣客を一般に何と呼ぶでしょう？,宮本武蔵,みやもとむさし,2020/05/23
1301年に世界で初めてキリスト教を国教と定めた、カフカス山脈の南に位置していた古代の王国は何でしょう？,アルメニア王国,アルメニア,2020/05/23
1882年3月20日に開園した、日本初の動物園を一般に何動物園というでしょう？,上野動物園,うえの,2020/05/23
1974年、東京都江東区に第1号店となる豊洲店がオープンした、現在日本最大手のコンビニエンスストアチェーンは何でしょう？,セブン-イレブン,セブンイレブン,2020/05/23
1985年にダグ・クランダーとジェイブ・ブルメンソールが中心となって開発した、マイクロソフト社が販売する表計算ソフトは「Microsoft 何」でしょう？,Microsoft Excel,エクセル,2020/05/23
アメーバやゾウリムシ、ミドリムシなど、1個の細胞からできている生物を総称して何生物というでしょう？,単細胞生物,たんさいぼう,2020/05/23
アメリカ・マテル社の着せ替え人形「バービー」のボーイフレンドの名前は何でしょう？,ケン,ケン,2020/05/23
アメリカの都市で、フィッシャーマンズワーフ、アルカトラズ島、ゴールデンゲートブリッジなどの観光名所や坂道を上るケーブルカーが有名なのはどこでしょう？,サンフランシスコ,サンフランシスコ,2020/05/23
アメリカンフットボールで、主にハーフバックとフルバックの2種類がある、「RB」と略されるポジションは何でしょう？,ランニングバック,ランニングバック,2020/05/23
イギリスでは「レブカウンター」とも呼ばれる、自動車のエンジンの回転数を表示する計器のことを、アメリカ英語に由来する言葉で一般に何というでしょう？,タコメーター,タコメーター,2020/05/23
イタリア語で「天空」という意味がある、自転車ブランド・ビアンキのブランドカラーに用いられている緑がかった青色を何というでしょう？,チェレステ,チェレステ,2020/05/23
ギリシャ語で「遠く」を意味する、「～ビジョン」「～フォン」「～パシー」「～ポート」などの言葉に共通して使われている接頭辞は何でしょう？,テレ,テレ,2020/05/23
シカ科で唯一角がオス・メスともにあり、特に北アメリカで生息する個体は「カリブー」と呼ばれる、サンタクロースが乗るソリを引くという言い伝えでもおなじみの動物といえば何でしょう？,トナカイ,トナカイ,2020/05/23
その国旗が「五星紅旗」と呼ばれるアジアの国はどこでしょう？,中国,ちゅうごく,2020/05/23
その国旗が英語で「メイプルリーフ・フラッグ」と呼ばれる国といえばどこでしょう？,カナダ,カナダ,2020/05/23
ダーツボードの中心にある二重の丸のことを、ある動物を意味する英語で一般に何というでしょう？,ブル,ブル,2020/05/23
テニス用語の1つで、相手の打球をノーバウンドで返球することを英語で何というでしょう？,ボレー,ボレー,2020/05/23
テルエルやサラゴサに残るものはユネスコの世界遺産にも登録されている、レコンキスタ後のイベリア半島でイスラム文化とキリスト教文化が融合してできた建築様式のことを、アラビア語で「残留者」を意味する言葉から何様式というでしょう？,ムデハル様式,ムデハル,2020/05/23
ドイツ語では「東の国」を意味する「エスターライヒ」と呼ばれる、ドイツ語を公用語とし首都をウィーンに置くヨーロッパの国はどこでしょう？,オーストリア,オーストリア,2020/05/23
フキの茎を醤油などで濃い茶色になるまで煮しめた料理を、ある香木に似た色であるところから何というでしょう？,伽羅蕗,きゃらぶき,2020/05/23
フランス語で「25歳」という意味がある、主に富裕層の女性を対象に、ハースト婦人画報社が毎月発行しているファッション誌は何でしょう？,『25ans』,ヴァンサンカン,2020/05/23
英語で「子馬の尻尾」という意味がある、髪を後頭部の高い位置で1つに束ねて垂らした髪型を何というでしょう？,ポニーテール,ポニーテール,2020/05/23
屋外の畑で作物を栽培することを、温室で育てる「温室栽培」に対して何栽培というでしょう？,露地栽培,ろじ,2020/05/23
夏の大三角を形成する3つの1等星とは、ベガ、デネブと何でしょう？,アルタイル,アルタイル,2020/05/23
韓国と北朝鮮の軍事境界線を、その緯度にちなんで一般に「何度線」というでしょう？,38度線,38,2020/05/23
弓状紋、蹄状紋、渦状紋といった種類があり、犯罪捜査などで個人の識別に用いられることでもおなじみである、体の一部にあるものといえば何でしょう？,指紋,しもん,2020/05/23
考案したフランス人の名前から「ギネーグリーン」とも呼ばれる、水酸化クロムを主成分とする青緑色の顔料は何でしょう？,ビリジアン,ビリジアン,2020/05/23
実業之日本社が1916年に決めた「日本新三景」と、「日本三大松原」、さらにユネスコの世界文化遺産にも選ばれている景勝地はどこでしょう？,三保の松原,みほのまつばら,2020/05/23
収穫前に日覆いした茶葉を用いる、香りが高く甘みのある高級な緑茶を、原型となった茶葉を露のように丸く焙った商品に由来して一般に何というでしょう？,玉露,ぎょくろ,2020/05/23
人間の心臓にある4つの部屋のうち、全身へ動脈血を送り出すのはどれでしょう？,左心室,さしんしつ,2020/05/23
赤川次郎の小説『セーラー服と機関銃』の主人公である女子高生は誰でしょう？,星泉,ほしいずみ,2020/05/23
臓器移植などで臓器の提供を受ける患者のことを一般に英語で何というでしょう？,レシピエント,レシピエント,2020/05/23
太陽などの恒星の表面にあり、外部から見える光の大部分を放出している高温のガス層のことを、漢字2文字で何というでしょう？,光球,こうきゅう,2020/05/23
大相撲の本場所が開催される4つの都市とは、東京、大阪、名古屋とどこでしょう？,福岡,ふくおか,2020/05/23
地震活動で、本震のあとに引き続いて多発する、本震よりも規模の小さい地震を漢字2文字で何というでしょう？,余震,よしん,2020/05/23
童謡『青い眼の人形』の歌詞で、人形はどこで生まれたと歌われているでしょう？,アメリカ,アメリカ,2020/05/23
日本ではドイツ語読みから「マルチパン」と呼ばれることもある、すりつぶしたアーモンドと砂糖を練って様々な形に成形した、ケーキの材料としてよく用いられる砂糖菓子は何でしょう？,マジパン,マジパン,2020/05/23
日本ドッジボール協会の公式ルールに基づくドッジボールの試合では、1チームで試合に同時に出場する選手は何人でしょう？,12人,12,2020/05/23
日本の民法第725条において、血族で親族に含まれるのは何親等以内と定められているでしょう？,六親等,6,2020/05/23
日本国憲法において、最高裁判所長官を指名するのは何という機関と規定されているでしょう？,内閣,ないかく,2020/05/23
本姓を大島といい、1985年の日本航空機墜落事故で亡くなった、『見上げてごらん夜の星を』や『上を向いて歩こう』などのヒット曲がある日本の俳優・歌手は誰でしょう？,坂本九,さかもときゅう,2020/05/23
本名をマンガラジャラビーン・アナンドといい、2014年に第71代横綱に昇進した、陸奥部屋所属のモンゴル出身力士は誰でしょう？,鶴竜力三郎,かくりゅう,2020/05/23
「ヴィッテル」「ボルヴィック」「エビアン」といえば、いずれもどこの国を水源地とするミネラルウォーターブランドでしょう？,フランス,フランス,2020/05/22
「これは、わたしが小さいときに、村の茂平というおじいさんからきいたお話です。」という書き出しで始まる、新美南吉の児童文学作品は何でしょう？,『ごんぎつね』,ごんぎつね,2020/05/22
「スライマー」や「マシュマロマン」などのゴーストが登場する、1984年に公開されたアイヴァン・ライトマン監督のSFコメディ映画は何でしょう？,『ゴーストバスターズ』,ゴーストバスターズ,2020/05/22
「印度」「世界一」「ジョナゴールド」「ふじ」などの品種があり、日本では青森県が主な産地として知られるバラ科の果物は何でしょう？,リンゴ,リンゴ,2020/05/22
「永いあいだ、私は自分が生れたときの光景を見たことがあると言い張っていた。」という書き出しで始まる、三島由紀夫の初の書き下ろし小説は何でしょう？,『仮面の告白』,かめんのこくはく,2020/05/22
「世界で最も発行部数が多い新聞」としてギネス世界記録に認定された、1874年創刊の日本の新聞は何新聞でしょう？,読売新聞,よみうり,2020/05/22
『Somebody Stole My Gal』というジャズの曲がオープニングテーマとして使われる、大阪の「なんばグランド花月」を中心に公演を行っているコメディ劇団を一般に何というでしょう？,吉本新喜劇,よしもとしんきげき,2020/05/22
『京いろはかるた』の「京」の読み札になっている、にぎやかな場所でもひなびた場所や習俗が残っている、という意味のことわざは何でしょう？,京に田舎あり,きょうにいなかあり,2020/05/22
『車のいろは空のいろ』で第1回日本児童文学者協会新人賞、『ちいちゃんのかげおくり』で小学館文学賞を受賞し、2001年に紫綬褒章を受章した児童文学作家は誰でしょう？,あまんきみこ,あまんきみこ,2020/05/22
『夢をみる島』『神々のトライフォース』『ブレス オブ ザ ワイルド』などのサブタイトルが付く作品が販売されている、任天堂のアクションRPGシリーズは何でしょう？,『ゼルダの伝説』,ゼルダのでんせつ,2020/05/22
10弦ギターの開発者でもあり、ルネ・クレマン監督の映画『禁じられた遊び』でメインテーマ『愛のロマンス』などすべての音楽を手掛けたことで知られる、スペインのギタリストは誰でしょう？,ナルシソ・イエペス,イエペス,2020/05/22
1450年に守護大名の細川勝元によって創建された、「知足の蹲鋸」や「虎の子渡しの庭」で有名な京都市にある臨済宗の寺院は何でしょう？,龍安寺,りょうあんじ,2020/05/22
14世紀に中国から伝来し、本土の「三味線」の起源となったとされる、沖縄や奄美地方で広く使われる弦楽器を一般に何と呼ぶでしょう？,三線,さんしん,2020/05/22
